0028 00840 1|H|024.62349663|+00.65118329|  513.0|  162.1|  2.9|  1.8|  3.3|  2.0|H|      |     |11.624|0.007|999| |  7646 
0030 00991 1|H|029.79692857|+01.61236390|   -1.5|   -5.4|  2.3|  2.3|  2.7|  2.7|H|      |     |11.560|0.025|999| |  9274 
0031 00087 2|H|022.62181179|+02.97027075|    0.0|    7.6| 48.9| 44.5|  2.5|  1.4|H|      |     |12.568|0.256| 36| |  7022B
0031 00876 2|H|024.07013997|+04.31291488|   24.9|    2.9| 35.6| 23.3|  1.1|  0.8|H|      |     |11.633|0.099| 53| |  7476B
0033 00174 1|H|028.90616507|+02.88357344| -297.6| -287.5|  3.3|  2.3|  4.1|  2.9|H|      |     |12.134|0.009|999| |  8972 
0033 00291 1|H|027.87085445|+02.73036715|  -26.6| -127.9|  3.1|  2.2|  3.3|  2.0|H|      |     |12.316|0.007|762| |  8651 
0033 00910 2|H|029.80186317|+03.51972324|  258.8|   26.5| 22.5| 22.7|  7.2|  5.7|H|      |     |12.475|0.066| 38| |  9275B
0033 01179 1|T|028.70487759|+03.43151260|       |       | 39.3| 45.8|     |     | |11.827|0.146|10.884|0.105|999|T|       
0034 00693 1|H|024.00913192|+06.37969372|  -21.4|  -22.0|  3.2|  2.4|  4.7|  3.0|H|      |     |12.303|0.008|999| |  7454 
0034 00877 1|T|023.23495479|+06.01666898|       |       | 69.1| 52.1|     |     | |11.895|0.165|11.267|0.164|999|T|       
0035 01131 1|T|026.25878284|+05.80516869|       |       | 90.2| 77.9|     |     | |12.585|0.341|11.624|0.272| 44|T|       
0036 00841 1|H|028.80776754|+07.14640678|   84.6|  -60.3|  4.1|  4.3|  5.8|  5.7|H|      |     |12.604|0.012|999| |  8946 
0036 00855 1|T|028.20689684|+06.32036869|       |       | 95.4| 79.2|     |     | |11.899|0.182|11.581|0.260|999|T|       
0037 00412 1|T|030.50740952|+01.82012668|       |       | 50.3| 43.8|     |     | |12.199|0.186|10.715|0.076|999|T|       
0037 01132 1|T|030.05285621|+00.92547121|       |       | 72.9| 57.7|     |     | |12.596|0.343|11.750|0.286|999|T|       
0037 01157 1|T|031.74917285|+00.72349282|       |       | 77.7|129.3|     |     | |12.689|0.610|11.658|0.354| 63|T|       
0037 01205 1|T|031.93190126|+00.64559116|       |       | 60.7| 58.8|     |     | |13.022|0.590|11.763|0.315| 41|T|       
0038 00896 1|T|033.92823527|+00.67067067|       |       | 41.1| 33.4|     |     | |11.432|0.103|10.690|0.079|999|T|       
0039 00817 2|H|035.73010857|+02.35310525|   29.0|   -5.0| 41.7| 29.1|  3.2|  2.3|H|      |     |12.210|0.131| 75| | 11103B
0040 01013 1|H|031.78700572|+04.32462269|   72.0|   -5.3|  3.6|  2.5|  5.4|  3.0|H|      |     |12.423|0.008|999| |  9880 
0040 01133 1|H|030.22343529|+04.01913678|   64.7| -413.0|  3.0|  2.5|  4.0|  3.3|H|      |     |11.710|0.007|999| |  9410 
0041 00098 1|T|033.15110269|+02.85205608|       |       | 40.4| 32.3|     |     | |12.337|0.222|10.830|0.089|999|T|       
0041 00275 1|T|033.83662466|+02.61256964|       |       | 65.6| 65.4|     |     | |12.469|0.354|11.502|0.227| 32|T|       
0041 00779 1|T|032.92034936|+03.47051087|       |       | 29.0| 26.0|     |     | |11.561|0.097|10.437|0.055|744|T|       
0041 01124 2|H|034.67153612|+04.19793356|  -18.9|  -43.2| 43.1| 34.4|  1.7|  1.3|H|      |     |11.393|0.173| 75| | 10775B
0042 00261 1|T|036.84042515|+02.67143103|       |       | 44.0| 28.7|     |     | |11.136|0.086|10.742|0.104|999|T|       
0043 01158 1|H|031.37576685|+05.69724088|  104.4| -282.7|  3.2|  2.5|  4.3|  3.1|H|      |     |12.114|0.006|999| |  9762 
0044 00451 1|T|033.59173839|+07.33253345|       |       | 88.5| 65.0|     |     | |11.911|0.313|11.607|0.368|999|T|       
0044 01158 1|H|032.64987617|+05.83250344|   87.6|    0.4|  3.5|  2.2|  5.6|  2.7|H|      |     |12.048|0.010|999| | 10153 
0045 00934 1|T|036.57885675|+06.31461693|       |       | 60.5| 38.5|     |     | |11.663|0.123|10.327|0.058|889|T|       
0047 00002 1|H|042.18007600|+00.03431650|  494.6|   78.2| 10.1|  8.2|  8.7| 11.2|H|      |     |12.244|0.080| 17| | 13117A
0047 00002 2|H|042.18038990|+00.03466127|  494.6|   78.2| 37.6| 34.5|  8.7| 11.2|H|      |     |12.887|0.143| 17| | 13117B
0048 00306 1|T|043.33004243|+01.73725475|       |       | 85.6| 80.8|     |     | |12.118|0.252|11.601|0.267|999|T|       
0049 00046 1|H|038.09624982|+03.38259131|  138.9|   19.2|  3.5|  2.7|  5.3|  3.7|H|      |     |11.844|0.007|999| | 11815 
0049 01674 1|H|039.65311086|+03.44338599|   34.9|    7.9| 36.8| 24.6|  1.2|  1.2|H|      |     |10.511|0.130|  9|T| 12318B
0050 01094 1|T|041.77375513|+04.29646540|       |       | 40.7| 48.8|     |     | |10.740|0.083|10.373|0.098|999|T|       
0051 00089 1|H|043.17222328|+03.28057994|  102.5|   -6.8|  3.7|  4.0|  3.9|  4.2|H|      |     |12.204|0.016|999| | 13412 
0051 00097 1|H|043.71096212|+02.74650037|   75.2|   -9.7|  3.2|  2.7|  3.6|  3.7|H|      |     |12.004|0.007|462| | 13572 
0051 01734 1|T|044.19679140|+03.49782079|       |       | 64.5| 51.4|     |     | |11.517|0.135|10.967|0.126|134|T|       
0052 00167 1|T|039.25391279|+06.54953006|       |       | 51.9| 58.6|     |     | |12.092|0.211|11.018|0.133|999|T|       
0052 00736 1|H|037.56909300|+05.26414062|   71.2|  -24.6|  4.5|  3.2|  6.6|  4.2|H|      |     |12.848|0.019|999| | 11650 
0052 00799 1|T|038.86404397|+05.69277697|       |       | 48.6| 35.6|     |     | |11.459|0.156|11.103|0.189|999|T|       
0053 00030 1|H|040.35767390|+05.98858085|   82.3|  -55.1|  2.0|  1.5|  4.3|  2.7| |11.330|0.113|10.294|0.075|999|T| 12545 
0053 00592 1|T|040.29131700|+06.88517267|       |       | 51.2| 49.6|     |     | |11.560|0.156|11.109|0.165|999|T|       
0053 01050 1|H|042.34191600|+05.68809692|   85.3|  -49.8|  3.4|  2.9|  4.5|  3.5|H|      |     |12.323|0.010|999| | 13170 
0053 01224 1|H|042.46567789|+06.46746958|  -35.8|  -51.9|  3.9|  3.2|  4.8|  3.6|H|      |     |12.337|0.014|999| | 13198 
0054 00012 1|H|043.16514420|+06.47484549|   21.9|  -12.6|  2.0|  2.0|  2.1|  2.2| | 7.783|0.015| 7.809|0.019| 27|T| 13408A
0054 00357 1|T|043.01587127|+06.97799162|       |       | 59.5| 59.8|     |     | |11.365|0.110|11.326|0.176|999|T|       
0054 00421 1|H|043.29858898|+06.94975463|  -12.6|   13.3|  3.6|  3.0|  5.1|  3.6|H|      |     |12.122|0.008|999| | 13449 
0054 00842 1|H|044.89591019|+05.68572239|  -59.0|  -86.2|  3.8|  3.1|  5.7|  4.3|H|      |     |12.261|0.010|999| | 13940 
0055 00608 1|H|046.34739365|+01.63614671|   58.2|  -47.8|  4.8|  4.0|  6.1|  5.3|H|      |     |12.678|0.018|999| | 14371 
0055 00788 1|T|045.30506021|+00.73614270|       |       | 39.2| 43.5|     |     | |12.901|0.559|10.738|0.113|999|T|       
